index,gm_db,pm_deg,mode_peak_db,stable,mode_ok,settling_time_s,overshoot_deg,peak_torque_nm
54,7.054814708149934,35.12124644817473,-15.440654993316068,True,True,,,
55,7.555979875434278,35.303120497262114,-2.4290037513758094,True,True,,,
56,7.95893225307048,35.333016008015335,-16.867432904834292,True,True,,,
57,7.374760047239997,35.366349441952366,-10.136338296184435,True,True,,,
58,7.980179776458715,35.29426186204702,-15.523764355932679,True,True,,,
59,7.344459798873975,35.4520097318038,-3.2322834122626185,True,True,,,
60,7.545117667143993,35.30262756786979,-16.864260230544776,True,True,,,
61,7.739607978646941,35.27417920109323,-8.214273920921972,True,True,,,
62,7.49297377354555,35.431183708513544,-15.243535136359474,True,True,,,
63,7.4575965571315646,35.25368239174779,-14.61047218622751,True,True,,,
64,7.431227138707884,35.327734501788285,-17.042987318770585,True,True,,,
65,7.948451489851002,35.40970241663115,-8.252299845132024,True,True,,,
66,7.878813849245102,35.428536683859164,-11.403033453020207,True,True,,,
67,7.663918100434949,35.413252470631534,-8.557789887015538,True,True,,,
68,7.969265687742835,35.360973856669204,-11.067106748981839,True,True,,,
69,7.619799230341843,35.28872479137439,-15.969412270183529,True,True,,,
70,7.133207534462796,35.113147112300794,-6.2503929638455205,True,True,,,
71,7.800233357587137,35.40173753608448,-10.433165681365137,True,True,,,
72,8.222396519617728,35.540661465176356,-1.8846423356629225,True,True,,,
73,7.662006677037571,35.470343393433154,-9.197053328746813,True,True,,,
74,7.808429622330274,35.269468053934844,-10.013610366596073,True,True,,,
75,7.739477975638498,35.41320648917568,-9.707719681747655,True,True,,,
76,7.440351211343019,35.326998880667816,-15.876719065240398,True,True,,,
77,8.118069123949322,35.37627690753922,-15.50682640973173,True,True,,,
78,7.54520913846885,35.310205948674195,-13.387923366616157,True,True,,,
79,7.635148651191905,35.225746585747544,-11.255891833464712,True,True,,,
80,7.297592425658036,35.35285452627002,-13.19747354923866,True,True,,,
81,8.12469435585163,35.32346623731658,-18.59782491482366,True,True,,,
82,7.291079740429186,35.45659498432164,-11.270495806203858,True,True,,,
83,7.636206627506242,35.35354215911357,-12.566343025462325,True,True,,,
84,7.573935011570222,35.17757020035708,-12.992854089329992,True,True,,,
85,7.1796586230447055,35.213011475154104,-1.0635032215792515,True,True,,,
86,7.468975287026661,35.27266028402275,-15.969190938464159,True,True,,,
87,7.332342288867987,35.30975440471198,-17.264244350189834,True,True,,,
88,7.746979426554901,35.27067859776585,-14.123126734826437,True,True,,,
89,7.781799132139907,35.347418737780345,-14.7150663632428,True,True,,,
90,7.949830069798704,35.43360021809747,-6.991476251290159,True,True,,,
91,8.106970252061444,35.316898809098205,-3.87794422957979,True,True,,,
92,7.420066126395502,35.28733392681639,-15.626566632346826,True,True,,,
93,7.133428156380921,35.206917689089835,-3.8103041553186734,True,True,,,
94,7.956521159911649,35.542798479642585,-14.923469405631122,True,True,,,
95,7.16213498886792,35.17280244472835,-10.555338669407403,True,True,,,
96,8.120972638612901,35.403028578646484,-4.136426144819666,True,True,,,
97,7.947886690715851,35.41010757573147,-14.907906285381012,True,True,,,
98,7.938873868926706,35.320001887693024,-7.573434859321996,True,True,,,
99,7.8773190230244285,35.437218457164505,-14.570568749842824,True,True,,,
